california	39512223
texas	28995881
florida	21477737
new-york	19453561
pennsylvania	12801989
illinois	12671821
ohio	11689100
georgia	10617423
north-carolina	10488084
michigan	9986857
new-jersey	8882190
virginia	8535519
washington	7614893
arizona	7278717
massachusetts	6892503
tennessee	6829174
indiana	6732219
missouri	6137428
maryland	6045680
wisconsin	5822434
colorado	5758736
minnesota	5639632
south-carolina	5148714
alabama	4903185
louisiana	4648794
kentucky	4467673
oregon	4217737
oklahoma	3956971
connecticut	3565287
utah	3205958
iowa	3155070
nevada	3080156
arkansas	3017804
mississippi	2976149
kansas	2913314
new-mexico	2096829
nebraska	1934408
west-virginia	1792147
idaho	1787065
hawaii	1415872
new-hampshire	1359711
maine	1344212
montana	1068778
rhode-island	1059361
delaware	973764
south-dakota	884659
north-dakota	762062
alaska	731545
district-of-columbia	705749
vermont	623989
wyoming	578759
